ticker,name,sector,market_cap,price,pe_trailing,pe_forward,pb,ps,ev_ebitda,peg,fcf_yield,roe,roa,gross_margin,operating_margin,profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,dividend_yield,held_by_insiders,short_ratio,valuation_score,quality_score,growth_score,composite_score
DSV.TO,DISCOVERY SILVER CORP,Basic Materials,7532792832,9.29,25.108109,11.920496,8.256016,8.028573,13.26,,0.026525054977112637,0.52927,0.25717,0.67043,0.5094,0.20777,0.822,2.333,,,,0.29994,9.47,0.3557864531197864,0.7706597042109026,,0.5226241230337091
GTII.CN,GreenThumb,Healthcare,2102300672,9.6,13.714287,41.550198,0.8512233,1.7578573,7.373,1.77,0.06989354565549033,0.06626,0.03147,0.48101002,0.13569,0.10138,29.644,3.471,0.074,0.898,,0.01688,1.47,0.5953419431684539,0.39762942213922603,0.5604544074486388,0.520909430450252
MG.TO,MAGNA INTERNATIONAL INC,Consumer Cyclical,22608248832,83.05,25.553846,7.939823,1.361732,0.53419614,6.672,0.34,0.09160373629065337,0.059660003,0.04405,0.14579001,0.04277,0.01585,54.596,1.217,0.031,,3.26,0.05921,3.23,0.7713756014438276,0.26497389079088424,0.27385892116182575,0.5195075006729971
XOM.NE,EXXON MOBIL CDR (CAD HEDGED),Energy,920948572160,28.51,21.93077,,0.33486536,2.8228743,2.034,,0.018777108050063475,0.11424,0.05108,0.31222,0.11057,0.091809995,15.672,1.137,-0.051,-0.083,3.43,,1.32,0.7411439216994773,0.35175963389471016,0.17137941503896367,0.5193947449687317
SFC.TO,SAGICOR FINANCIAL COMPANY LTD,Financial Services,1160133120,8.52,35.500004,5.597898,0.81016773,0.8089693,6.272,,11.79208741838178,0.05287,0.00873,0.49825,0.06007,0.01799,77.744,2.593,-0.005,,4.59,0.33516,0.88,0.7619062395729062,0.3216360618321403,0.15560165975103735,0.5168659903903577
LIF.TO,LABRADOR IRON ORE ROYALTY CORPO,Basic Materials,1793280000,28.02,19.324137,12.276013,2.8053665,10.819839,,,0.04172752052105639,0.14527,0.09675,0.96382004,0.74208,0.55724996,,2.008,-0.004,-0.364,4.82,0.00083,8.79,0.43652777777777774,0.7958611428110337,0.13316971966400162,0.5167907468223509
GOOG.NE,ALPHABET INC. CDR (CAD HEDGED),Communication Services,6144563085312,63.07,45.05,,2.4624214,18.07974,2.901,,0.006689572247416002,0.32101002,0.16483,0.58127,0.32312,0.27738002,9.324,1.95,0.151,0.366,0.4,,,0.3937548659770882,0.6692026604880635,0.5699625543973281,0.5165927473189655
NKE.NE,NIKE CDR (CAD HEDGED),Consumer Cyclical,84403306496,7.56,23.625,,0.5775141,1.8146175,4.803,,0.0,0.17950001,0.0502,0.41132998,0.08095,0.05426,80.099,2.063,0.006,-0.321,2.83,,,0.7380714047380714,0.3347050754458161,0.16299969638700534,0.5106324332331221
GMIN.TO,G MINING VENTURES CORP,Basic Materials,11299160064,47.53,23.413794,14.387247,4.523726,18.148783,23.812,,-0.012314465784348057,0.23777,0.1382,0.69155,0.60823,0.55222,2.174,3.046,0.428,2.135,,0.21604,7.58,0.2596332999666333,0.7248533158119215,0.8412610059710556,0.5097044614131475
SPB.TO,SUPERIOR PLUS CORP.,Utilities,1632869120,7.61,26.24138,13.98897,1.2907455,0.69495624,8.668,0.24,0.14874125857680498,0.04921,0.03373,0.52362,0.20313999,0.01758,150.687,1.219,-0.11,-0.074,2.37,0.00341,12.14,0.6928943661009939,0.39828647508386067,0.1583139358364538,0.5095945397053162
